Country,$C_{1}$,$C_{2}$,$C_{3}$,$C_{4}$,$C_{5}$,$C_{6}$,$C_{7}$,$C_{8}$,$C_{9}$
AT,4.790934446761322,0.296893247917332,1.0675802495511846,0.17579496400839603,0.8864925042193693,0.00015201199623397188,0.017730126469835083,0.0,0.0
BE,3.6446674450254055,0.6454812578861453,0.6662274272191945,0.006572680195780192,0.0,0.0,0.002839593678623845,0.0,0.0
BG,3.2366399332241493,13.94650247923425,0.0,2.4412283622589888,0.0,0.0,0.12953641106924227,0.0,0.0
HR,1.5220071317158095,3.4022018178363593,0.07036714638575778,0.04512555619871594,0.44794156765188037,0.0,0.0,0.0,0.0
CY,2.3122622434191302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,3.984108286159921,1.635490403528099,1.0199091798188686,0.22665052408843517,0.0,0.0,0.10785350973826482,0.0,0.0
DK,4.163498677860019,0.0,1.3459165937784352,0.0,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.4523707656437922,0.5352914697590283,0.07483767749559964,0.0,0.0,0.26367390283365827,0.0,0.0
FI,2.657501342687757,0.0,2.3102496094645084,0.1421608605808316,0.0,0.001860000356500068,0.0,0.0,0.0
FR,5.40817821305875,0.30036691410503286,0.9581673417586346,0.18795248844844128,0.0,0.0,0.0076358224291871385,0.0,0.0
DE,3.9054224759567413,1.1150497195473925,1.5470418762518237,0.33647459085173487,0.24194151753800167,0.05677570453069211,0.004940290527511902,0.021347839220126605,0.022861224129115825
EL,2.140259043461773,1.137134227170998,0.0,0.3048020659887676,0.0,0.0,0.0,0.0,0.0
HU,2.9396588235428416,0.6727977816566568,1.4505650314109289,0.03190752184152636,0.0,0.0,0.0,0.0,0.0
IS,0.0,0.0,0.0,0.0,0.0,0.6714897909680003,0.0,0.0,0.0
IE,1.6095378408447392,0.028629784251671838,0.820071540104888,0.0,0.002433531661392106,0.0,0.001202450938570217,0.0,0.0
IT,3.7605806811836957,4.4168486878838635,0.31291866741112967,2.2536177182207333,0.0,7.146845337800112e-05,0.015106644332774989,0.0,0.0
LV,1.3798977649980706,5.327497249402992,0.7646719412823696,0.0,0.0,0.0,0.6676693453877776,0.0,0.0
LT,3.5170568980196344,10.873603702329733,0.5957584104770473,0.20467424814194157,0.0,0.0,0.25051275163206393,0.0,0.0
LU,2.1391940723436873,0.08545643683614994,0.058263678504945786,0.0,0.0,0.0,0.00022812716720808845,0.0,0.010037595357155892
MT,1.065028840764024,0.0,0.0,0.0,0.50930920794884,0.0,0.0,0.0,0.0
NL,1.7428303171413306,2.831826004787246,1.1578154894415371,0.22056197628740146,0.0,0.0,0.01600027833042305,0.0,0.0
NO,3.6458838359352277,0.065096622070652,0.26490955057907023,0.37245792073939354,0.0,0.0,0.033050873512710695,0.0,0.0
PL,3.9686604710994624,11.01748819841167,0.8640730135920804,0.0,0.20834284239279507,0.0,0.010739643627404549,0.0,0.0
PT,5.070178290999411,0.6491851686377557,0.024588181318967228,0.22821263173022843,0.0,0.0,0.0,0.0,0.07963521050437604
RO,1.6979298966700238,1.1642571731386213,1.2016041371686748,0.0,0.8997094268476469,0.0,0.10796999199794713,0.0,0.0
RS,0.0,16.983366040610562,0.0,0.11346681267822407,0.0,0.0,0.0,0.0,0.0
SK,3.6264817969259453,0.0,0.8829910416527197,0.0,0.0,0.0,0.0,0.0,0.0
SI,2.443985119580891,0.4692259451711163,0.3200164674362847,0.03668910674823594,0.0,0.0,0.0,0.0,0.0
ES,7.446982182895175,0.11588203695474332,0.7861538699463707,0.2514545122862654,0.0,0.0,0.0,0.0,0.0
SE,3.4245334517255355,0.009515803212589198,2.632530448694136,0.7949748153911664,0.41800492030064534,1.0431961931984222,0.0,0.27477257005184613,0.0
UA,0.0,9.178109127519182,0.0,0.502898051733667,0.0,0.0,0.0,0.0,0.0
UK,1.3436980545951813,0.2736842348059092,1.056855691784825,0.0,0.0,0.0,0.005997059563380271,0.0,0.0
